,id,age,checking_status,class,credit_amount,credit_history,duration,employment,existing_credits,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,foreign_worker,housing,installment_commitment,job,num_dependents,other_parties,other_payment_plans,own_telephone,personal_status,property_magnitude,purpose,residence_since,savings_status
1538,1539,32,-1,0,7542,'delayed previously',48,10,2,0.1698142293352928,0.7258352304997515,1.4241392169426144,1.2115159023622732,0.5563823384825932,0.9981603605829664,0.5932559006018351,1.1503571361110114,0.7020372419907817,0.4191793942930759,yes,own,3,skilled,2,none,bank,none,'male single',car,radio/tv,3,'no known savings'
1405,1406,67,0,0,1140,'critical/other existing credit',6,10,2,0.5276117255857365,0.6769360234085572,1.0576514014635234,0.9842972533263948,1.055153504857096,0.7880827772697938,0.592814392284492,1.1517304530485224,1.0842219274734477,0.348852365910936,yes,own,4,skilled,1,none,none,yes,'male single','real estate',radio/tv,4,'no known savings'
1650,1651,58,0,1,6221,'critical/other existing credit',48,10,2,0.5778306228038211,0.6756068817659462,0.5309457742144318,1.1646299340121398,1.042461822309087,0.9417578450915072,0.8174510335573979,1.280487967253542,0.6573874158877081,0.250011930370832,yes,'for free',4,'unskilled resident',1,none,stores,none,'female div/dep/mar','no known property','used car',4,'<100'
327,328,22,200,0,391,'existing paid',9,4,1,0.294813277684026,0.5174355292374405,1.0132198550798432,0.8574501211240197,0.7197479437356614,1.3022979450928185,1.5551087964716452,1.0600587528339287,0.9666756081040642,0.269400219996244,yes,rent,4,'unskilled resident',1,none,none,none,'male mar/wid','real estate','new car',4,'<100'
442,443,46,200,1,1207,'existing paid',12,10,2,0.3769972787015477,0.5869764086616696,0.8895953934497398,1.19424591571072,0.8950612002863687,1.0970793937316845,0.5627755777480753,0.9370724726510264,1.1154023609813006,0.1162187482027632,yes,rent,1,skilled,1,none,none,none,'male div/sep','real estate','new car',1,'<100'
774,775,38,200,0,1587,'existing paid',15,10,2,0.6658185767504838,0.5129253226308372,1.1627042016949076,1.3536822958442836,0.5334778536608158,0.7561456299930736,0.6050949522071567,0.7881493431554443,0.9987275993054454,0.4802059544090362,yes,own,4,'unskilled resident',1,none,none,none,'male single',car,repairs,4,'<100'
1087,1088,23,200,0,827,'critical/other existing credit',13,1,2,0.6345499706641176,0.5715134687768046,0.2577313230676593,0.9826236523972528,1.1803327796741985,1.5251127346638502,1.3197000299275274,0.822727349469178,1.355178954774119,0.5231176987934398,yes,own,4,skilled,1,guarantor,none,none,'male single','real estate',radio/tv,4,'<100'
1220,1221,26,-1,0,4246,'critical/other existing credit',30,7,1,0.6274702337686873,0.5984507734268009,0.8534107243858876,0.6673510631392914,0.4451869680360786,1.3621782552218469,0.9596565807068967,0.9413702817228584,0.9772135054553216,0.4319352095475992,yes,rent,4,'high qualif/self emp/mgmt',1,none,none,yes,'female div/dep/mar',car,radio/tv,4,'<100'
1635,1636,27,0,0,2618,'existing paid',18,1,1,0.6765505267046943,0.5815668522280314,0.9777104357459988,0.6670248020611166,0.9194273207506825,1.0118026012390895,1.2335768869285038,0.7265417238157579,1.2688354497949046,0.579237494859102,yes,own,4,skilled,1,none,stores,none,'female div/dep/mar',car,radio/tv,1,'<100'
177,178,25,0,0,1184,'critical/other existing credit',9,4,2,0.5743070584623813,0.4169571403830276,0.9725297517721888,1.0696237495889414,0.5315017918048892,0.5549471132564973,0.6099631341928282,0.9806210323259398,1.1239230692581057,0.7793361038127196,yes,own,4,'unskilled resident',1,none,none,none,'male single','real estate',radio/tv,4,'<100'
1322,1323,37,-1,0,3557,'critical/other existing credit',12,1,2,0.3272862637119626,0.5165134019234504,1.0124086662636498,1.2698751348873405,0.4156367990717034,1.5761326892876886,1.185773789658892,0.9887966405574564,0.9293078798519372,0.5651159498427947,yes,own,2,'unskilled resident',2,none,none,none,'male single','life insurance',education,1,'no known savings'
704,705,31,-1,0,1234,'existing paid',24,7,1,0.4379242740490935,0.6302806763763145,0.8612628206786533,1.1202919072462958,1.0577945581563677,0.741081891658478,1.4742108682041963,0.9980525944422144,1.312703373413071,0.5170684096147973,yes,own,4,skilled,1,none,stores,yes,'male single',car,furniture/equipment,2,'no known savings'
86,87,70,200,0,7048,'existing paid',10,-1,1,0.2683643984444885,0.6029669532827665,1.1543557007605036,0.9389909463745122,0.714525070949621,0.4159755215313703,0.8959614473547673,0.5136855861984602,0.8954782998226793,0.1710675587937783,yes,'for free',2,'high qualif/self emp/mgmt',1,none,bank,yes,'male single','no known property','new car',4,'<100'
1883,1884,27,0,0,250,'existing paid',6,1,1,0.4461806729855584,0.5570076269559195,1.1449880511663657,1.010024430738491,1.6400648101423725,0.8535297033695126,0.8393095255583822,1.5058451977199638,0.6472375791155188,0.4609815435665704,yes,own,4,skilled,1,none,none,none,'female div/dep/mar','real estate','domestic appliance',1,'<100'
1947,1948,52,-1,0,2162,'existing paid',12,10,1,0.5099641608009018,0.7784914122527035,0.8986167145253489,0.5258639809556995,0.8723409315605692,0.648787398529552,0.890097637302416,0.6045062346085521,1.7186600025301295,0.5522801857025442,yes,'for free',4,'high qualif/self emp/mgmt',1,none,none,yes,'female div/dep/mar','no known property','new car',4,'no known savings'
457,458,31,-1,0,2864,'existing paid',10,1,1,0.5516254030213329,0.6126725465675257,0.5656426266633218,1.3197139943326353,1.0236718094685742,0.4462755156305836,1.0392875093766518,0.7211120032594003,1.0814038783873392,0.4571460723607282,yes,rent,1,skilled,1,none,none,none,'female div/dep/mar','real estate','used car',4,'no known savings'
1828,1829,23,-1,1,7323,'critical/other existing credit',36,1,2,0.3535162623707735,0.4793347518867882,0.4066567134295564,1.2677875322967331,1.2942834214565002,1.1630371722760693,1.591651120414324,1.232317407883572,0.9112784825139916,0.604327820151982,yes,rent,2,skilled,1,none,none,yes,'female div/dep/mar','life insurance',furniture/equipment,4,'<100'
54,55,36,-1,0,1323,'existing paid',12,7,1,0.3557222262743542,0.7287962511516408,0.6834482702870921,0.7518646735262114,1.193151031642505,0.8066077703920702,0.9857039097927448,1.2422620473006016,0.6128520378590274,0.3836482649891601,yes,own,2,skilled,1,none,none,yes,'male single',car,business,4,'<100'
1501,1502,25,200,1,3122,'no credits/all paid',12,1,2,0.2211426362202558,0.5564897039158971,1.3912594073575382,0.665660023586845,1.0622903128124386,1.4576244682072168,0.7775882034174256,1.4181416686468316,0.7291590253638359,0.4921259516549151,yes,rent,4,skilled,1,none,none,none,'female div/dep/mar','life insurance',furniture/equipment,3,'<100'
643,644,31,-1,0,2430,'critical/other existing credit',9,-1,1,0.6302228817916962,0.8008917341016082,0.7401048022245639,0.6092312369011769,1.4725062144555137,0.8885297747957128,0.8679012132517167,0.6949364892479051,1.256622192621949,0.5225460661939589,yes,own,2,'high qualif/self emp/mgmt',1,none,none,none,'male single',car,furniture/equipment,3,'<100'
677,678,27,0,0,1620,'existing paid',12,4,1,0.2744050880366241,0.6483540331259436,0.630970499478419,1.3598845316233954,0.5990640627737582,0.396229541605568,1.1221144489358508,1.1390744541580582,1.4245328297788082,0.7127834287291795,yes,own,2,skilled,1,none,none,none,'male single','real estate',furniture/equipment,2,'<100'
221,222,63,-1,0,7092,'critical/other existing credit',30,10,2,0.110214580199686,0.5347444691908553,1.0503738703111742,0.6787134601464547,0.9519095360380208,0.6468695603679886,0.7768141200056056,0.6943827875188884,1.1455774034672528,0.624333177374458,yes,own,1,skilled,1,none,none,none,'male single',car,'used car',4,'no known savings'
113,114,65,0,0,317,'critical/other existing credit',21,10,2,0.6728223903724334,0.5375372143307433,0.9888412391008208,1.4251615202101573,1.4070303943948057,1.1113970972327032,0.9182741214287552,1.368925987397061,0.7645104849850782,0.477146473897343,yes,own,4,skilled,1,none,none,none,'male single','real estate','new car',4,'<100'
982,983,23,0,0,1324,'existing paid',6,-1,1,0.366683646769525,0.5704196245414335,1.4869624230738543,1.047311702947654,0.4239487893213217,1.4561772020978356,0.8373056199614611,0.644147307965081,1.006543013598202,0.2335054124176315,yes,rent,1,'unemp/unskilled non res',1,none,none,yes,'female div/dep/mar','life insurance','used car',2,'500<=X<1000'
1228,1229,32,-1,1,1446,'critical/other existing credit',18,4,2,0.7656957576553112,0.5535431238645825,0.984661116709054,0.9624364209249646,0.5899953143217358,0.9344746227699978,1.638860636186512,1.410863095115769,0.1476255899403427,0.5717588550040089,yes,own,3,skilled,1,none,bank,none,'male single','life insurance','new car',2,'<100'
999,1000,23,400,0,3827,'existing paid',36,4,1,0.3964248624892357,0.4849098593114803,1.202858271688584,0.6992049758533159,0.5873006046789744,1.1108694288215786,1.363098962424784,0.7486950487372392,1.094708349159569,0.2541309707560566,yes,own,2,skilled,1,none,none,yes,'male single','real estate',radio/tv,2,'<100'
174,175,50,0,0,7391,'existing paid',48,7,1,0.7069240316400354,0.6213349458114422,0.9532683113754148,1.3637678398872608,0.8464404545784241,0.886356924697291,1.0195320067760538,1.391140924479664,0.73506315273261,0.5838571097295248,yes,'for free',4,'high qualif/self emp/mgmt',1,none,none,yes,'male single','no known property',education,1,'<100'
781,782,33,-1,0,2050,'critical/other existing credit',24,4,2,0.4323096704979813,0.734961033642548,0.6317059307306548,1.1844314665165283,0.6194560307722192,1.7470273085129515,1.2813286973907636,0.9401848487006,0.5940200609201036,0.1833470900036449,yes,own,3,skilled,1,none,none,yes,'female div/dep/mar',car,education,2,'no known savings'
589,590,23,400,0,1279,'existing paid',10,1,1,0.3728494077819137,0.5583305558483568,1.4460952752327936,0.5792264235541358,0.7137183369758578,1.355844387872808,0.6119190726400564,1.383265420854959,0.5829221189799347,0.4494558487574964,yes,own,4,skilled,1,none,none,none,'female div/dep/mar','life insurance',furniture/equipment,2,'<100'
1559,1560,37,400,1,2249,'existing paid',18,4,1,0.6591643132318681,0.6544971908296778,1.624626674576751,0.7034352189139905,1.623983087913231,1.1737778945746558,1.6721327716091772,1.363919809248034,1.778608160299481,0.4095094646134111,yes,own,4,skilled,1,'co applicant',stores,none,'male single','real estate',radio/tv,2,'<100'
18,19,50,-1,0,1610,'existing paid',12,4,1,0.4665783860216092,0.6873527512352209,0.6991426087052803,0.6865604172285049,0.9533148215085452,0.7202488401898843,1.316187390077738,0.7827877744217744,1.014866224264634,0.3806185434575269,yes,own,4,skilled,1,none,none,none,'male single','real estate',furniture/equipment,2,'<100'
423,424,27,-1,0,1510,'critical/other existing credit',6,4,2,0.663514198827842,0.46449765782486,0.9477418412340995,0.8971386329851248,1.0569779690931578,0.9842837305257646,0.5584506146160542,0.8582272837810692,1.2522644002243546,0.5621106427168494,yes,own,1,skilled,1,none,none,none,'female div/dep/mar','life insurance',radio/tv,1,'100<=X<500'
1343,1344,30,0,0,2245,'existing paid',18,7,1,0.3163603288204104,0.6135892866283617,1.309499308079634,0.5055080871658886,1.5022140033043354,1.4082083611840457,0.9145075760520868,1.4731852378132129,0.6739456765461068,0.5824380343347976,yes,own,4,'high qualif/self emp/mgmt',2,none,none,yes,'male single',car,'new car',3,'100<=X<500'
285,286,28,0,0,1880,'critical/other existing credit',13,1,2,0.507961357038368,0.5661210989075066,1.3616903973831698,1.5177662035778936,0.5282697240739577,0.9389581464267136,0.8391555968571291,1.0585618942305457,0.914093490027505,0.325787802312106,yes,own,3,'unskilled resident',1,none,bank,none,'male single','life insurance',business,1,'<100'
1583,1584,19,200,0,923,'existing paid',12,1,1,0.2787259955787849,0.508927622886464,0.9957453692673968,1.4355602967812562,1.165043885516306,0.675754443188724,0.3561342813367187,1.0383296692807935,0.5862735501046774,0.4737512822283087,yes,rent,1,'unskilled resident',1,none,none,none,'female div/dep/mar','real estate',furniture/equipment,4,'>=1000'
428,429,28,-1,0,3291,'critical/other existing credit',15,4,1,0.3798634939471187,0.6634554094137225,1.506303617554897,1.3133105694064393,0.5557351867072173,1.2406689556784043,1.131623322948187,1.4896353772249924,1.207964840028548,0.5360288336041007,yes,'for free',4,skilled,1,none,none,yes,'male single','no known property',furniture/equipment,2,'<100'
1509,1510,55,0,1,1669,'critical/other existing credit',18,-1,3,0.673129691017569,0.2812547489852873,1.2660137088290306,1.4866483849234786,0.9030372271812104,0.9006411163587023,0.9685956913701544,0.6409979901232087,1.1299518202871068,0.2613933796994113,yes,'for free',2,'unemp/unskilled non res',2,none,none,none,'female div/dep/mar','no known property',repairs,4,'<100'
1318,1319,32,-1,0,4972,'existing paid',36,4,1,0.3719176343001236,0.5721300843801723,1.0549078477931275,0.4444831542522091,0.8993758752690697,1.5500694799677397,1.0190146317800015,1.1149486285644357,1.302544513097295,0.4841487121559108,yes,'for free',2,'high qualif/self emp/mgmt',1,none,none,yes,'male single','no known property','used car',2,'<100'
669,670,26,-1,0,5014,'existing paid',21,4,1,0.2754939317514395,0.558620442667727,1.3996336142672523,0.5073382103778296,1.161702733536087,0.6706285005194379,0.8791445187693475,0.2785597736375615,1.0612161907213191,0.5213407173493773,yes,own,1,skilled,1,none,none,none,'male single',car,'used car',3,'no known savings'
31,32,26,400,0,2416,'existing paid',15,7,1,0.435180605127291,0.6086428549935465,0.8455983883773315,0.7660788286346065,1.5977358521342129,1.3303825175376525,0.7266729761973064,1.098449991769702,0.9847581709497932,0.5990332041157538,yes,rent,2,skilled,1,none,none,yes,'male single','life insurance',business,4,'<100'
940,941,44,0,0,2734,'existing paid',6,4,1,0.5589328221522438,0.5595087857320925,1.2921827756644046,0.8441194706348347,0.8273102350565693,0.8944411249985862,0.4062475634974259,0.7962823084281374,1.1201518959370615,0.5272924633947009,yes,rent,2,skilled,2,none,none,none,'male single','real estate',radio/tv,3,'500<=X<1000'
722,723,23,0,1,2686,'existing paid',30,7,1,0.6909264567791681,0.38296469839337,1.4559460442998524,0.6839057551235866,1.0282840831882178,0.4054958266143331,1.2408260923738053,1.2950845201457013,1.4765498811519775,0.5370727952953589,yes,rent,4,skilled,1,none,none,none,'female div/dep/mar','real estate',furniture/equipment,4,'<100'
994,995,29,0,1,11584,'no credits/all paid',45,10,2,0.2693129193951393,0.8011246819708377,0.7796345960116412,0.8803633808277767,1.0800185454622937,1.3088500830620955,1.3884684346721117,1.123474871294598,0.765142790585865,0.1658582927525553,yes,rent,2,skilled,1,none,none,none,'male single',car,business,4,'<100'
214,215,36,0,1,1709,'existing paid',12,7,1,0.3304810387476009,0.5175753674518696,1.4727028476100377,0.8296154884409452,0.7316999409780585,0.9749474014894502,0.4988704923887008,1.0859989481407162,0.6504528723142626,0.5280201004289673,yes,own,2,skilled,1,none,none,none,'male div/sep',car,'new car',3,'<100'
813,814,31,200,0,1686,'no credits/all paid',12,4,1,0.5363281143311369,0.6359566419109802,0.9265477351649556,1.118254345052306,0.2586669358424842,1.1967726295120402,1.2640598675960892,1.034011197364769,0.6558727594583812,0.8079455621465816,yes,own,2,'unskilled resident',1,none,none,yes,'male single','real estate',retraining,2,'<100'
326,327,27,-1,0,1322,'critical/other existing credit',6,4,2,0.5863500156639007,0.6112368557851092,1.442639811318415,1.2182700870545766,0.6501598218935254,0.4283614527313364,0.7250349076292809,0.7017896935155752,1.404537871328598,0.635849940360502,yes,own,1,skilled,1,none,none,none,'male mar/wid','life insurance',furniture/equipment,2,'no known savings'
560,561,59,0,0,1564,'existing paid',9,7,1,0.6217878289995258,0.6050049357011036,1.1975562524235948,1.3871525414383117,1.414714110836849,1.026718063205082,1.3247085598960773,0.981009946189192,0.7289734607819628,0.5744023712271602,yes,own,3,skilled,1,none,none,none,'male single','real estate',radio/tv,4,'<100'
1112,1113,50,-1,0,2635,'existing paid',12,10,1,0.3192115543454412,0.5743685444729103,1.0803480973464086,0.8363428458416016,1.0085472479624975,0.4646894735810171,0.665976038083189,0.7178111440566723,1.288070424678473,0.5949019090430537,yes,own,4,skilled,1,none,none,yes,'male single',car,'new car',3,'no known savings'
700,701,49,-1,0,765,'existing paid',12,4,1,0.5912428947524556,0.4703825240832344,1.407742624453718,1.2223289067763292,1.3389214430922207,0.6554215769954481,0.8254617682892673,0.9295481950122794,0.855524776035624,0.7798281962951245,yes,own,4,'unskilled resident',1,none,none,none,'male div/sep','real estate','new car',2,'<100'
1578,1579,31,0,1,4873,'existing paid',24,7,1,0.6208320217802288,0.7048498557004552,0.9917909239085574,1.178462376075998,1.6019740742466064,1.431852242084723,0.5195409991408944,1.2549585966828265,0.4635608885368699,0.6739368703364101,yes,own,2,skilled,1,'co applicant',none,yes,'male single','life insurance','new car',3,'<100'
1189,1190,27,0,0,525,'existing paid',6,1,1,0.5774628697840257,0.6003447207646488,0.6827959745398491,0.6473458397356409,1.502306979908376,0.937905361191274,1.0211124564807377,0.9692662094103194,1.1603325152938109,0.499339400937054,yes,own,4,skilled,1,none,none,none,'female div/dep/mar','real estate','domestic appliance',1,'<100'
341,342,29,400,0,1206,'existing paid',4,1,1,0.5783693446102244,0.5390762889246853,0.5211202983971033,1.184187913239859,1.3968995105809427,1.4354507927819793,1.28862700870461,1.1229124611496075,1.024122237171614,0.5416792054598654,no,own,1,'unskilled resident',2,none,none,none,'male single','real estate','new car',2,'no known savings'
629,630,46,400,0,2618,'existing paid',12,4,1,0.6563827684649718,0.4878878212949529,0.7785985010541542,0.6825497569829697,1.3052070168553374,0.6552445394713645,0.4967697758339653,0.7651583169675567,0.819513590329761,0.5288882651358322,yes,own,1,'unskilled resident',1,none,none,none,'female div/dep/mar',car,furniture/equipment,2,'<100'
147,148,74,200,1,4982,'all paid',9,10,1,0.333237717247615,0.5974621347855102,0.8274107073032304,0.8888440454739324,1.4563650120856146,1.258693694538121,0.8852032104318857,1.282158806369623,0.9686631517379068,0.4783715117938659,yes,'for free',2,'high qualif/self emp/mgmt',2,none,bank,yes,'female div/dep/mar','no known property','used car',4,'<100'
1309,1310,24,400,0,5653,'existing paid',36,4,1,0.6465292797768456,0.5657018660163287,1.637731208710068,0.6785802033223931,0.7050254506285704,1.0736779114976804,0.6915635149392408,0.6444279006737264,0.8280647911861028,0.5619760158768401,yes,own,4,skilled,1,none,none,none,'male single',car,radio/tv,1,'<100'
360,361,67,200,0,1048,'existing paid',9,7,2,0.2108111369873391,0.6231205521365187,1.7663278404908709,0.8476627026968278,1.1027127442251978,0.6260791112836699,0.7585567486201,1.3409280031181423,0.8928179840777768,0.593105974976605,yes,own,4,'high qualif/self emp/mgmt',1,none,none,yes,'female div/dep/mar','life insurance',education,4,'<100'
83,84,27,200,0,7466,'delayed previously',60,4,1,0.2418624530988121,0.7905287696490642,0.4893639547949685,1.1897546254355191,0.3383721359228314,1.2336123784304762,0.3972970980899223,1.2349034076199288,1.161021677456777,0.6951294544150518,yes,own,1,'unskilled resident',1,none,none,none,'male single','real estate',radio/tv,1,'no known savings'
48,49,31,0,1,6721,'existing paid',48,4,1,0.4052157025420273,0.3866299952070716,0.8911308375671938,1.3603209776995675,0.5633982003311587,1.0820729960696118,0.686021493610092,1.0699892510152245,0.7784703450888516,0.3841353686825447,yes,own,3,skilled,1,none,none,yes,'female div/dep/mar',car,radio/tv,2,'<100'
468,469,22,200,1,5471,'existing paid',48,4,1,0.8462237444057058,0.4899294299992929,1.6311246569330895,0.8219149668164399,0.7352946489189933,0.5664430746966127,1.11940927697879,1.0546520113397688,1.5814898855665818,0.4012769791926548,yes,own,2,skilled,1,none,none,none,'female div/dep/mar','real estate',radio/tv,2,'<100'
155,156,28,0,0,910,'existing paid',15,4,1,0.4094210203892506,0.6727888501079311,0.9061764087519126,1.1087947570203178,1.2345588887696262,1.360649598219763,0.8181618319310353,1.1080610741136918,1.288078312805528,0.6642102074213238,yes,rent,2,skilled,1,none,none,none,'female div/dep/mar',car,'new car',4,'<100'
772,773,36,-1,0,1260,'existing paid',6,-1,1,0.5514387756904053,0.486580575419695,1.4618815672974197,0.7592308690438376,1.3178626730578336,0.88071915255232,0.7707330531471586,0.5321005014855622,1.0377233944585509,0.4002294764217501,yes,own,4,'high qualif/self emp/mgmt',2,none,none,yes,'male single','life insurance',retraining,4,'no known savings'
1239,1240,24,-1,1,11448,'critical/other existing credit',48,4,2,0.4841564467847967,0.3801928220375434,0.6944117142373546,0.7077249207258296,0.9467063150711168,1.0669281240948452,0.9601896258911512,1.4501116226821795,1.0403284482733404,0.5963215327359443,yes,rent,2,'unskilled resident',1,none,bank,none,'female div/dep/mar',car,'used car',4,'100<=X<500'
1200,1201,22,0,0,1732,'existing paid',12,1,1,0.4481284964277188,0.5492690396205812,1.2351187838989,0.7215222346953128,0.8429638038025463,1.0772489657328703,0.4729517866049081,1.3280528276098165,1.1348625360843705,0.5550040939165287,yes,rent,4,skilled,1,none,none,none,'female div/dep/mar',car,furniture/equipment,1,'<100'
1402,1403,24,-1,1,11331,'critical/other existing credit',48,4,2,0.4763630134612133,0.4410257196092362,1.3755370501731048,0.980136428635376,1.0593907988896405,1.460650190857891,1.2365513488111344,1.330309282323204,1.1977840046617532,0.380492695122254,yes,rent,2,'unskilled resident',1,none,bank,none,'female div/dep/mar',car,'used car',4,'100<=X<500'
1202,1203,55,-1,1,1633,'delayed previously',12,10,2,0.4744228533739543,0.5495838462653481,1.3410789155310123,1.123982636111262,0.5681621640565249,0.4315976322740609,1.4557453054759677,0.9090659908743652,0.6510288674619369,0.2680786313192919,yes,'for free',4,skilled,2,none,none,none,'male single','no known property',repairs,4,'>=1000'
1630,1631,28,0,0,2844,'existing paid',21,1,1,0.3532308125444053,0.5151453202808521,0.5488165477787578,1.3473478621719208,0.7065355706601653,1.2244663262161393,0.8514219917162528,0.6822997424488702,1.2535091719363067,0.6291598757733348,yes,rent,4,'high qualif/self emp/mgmt',1,none,none,yes,'female div/dep/mar','life insurance',radio/tv,4,'<100'
500,501,23,200,0,1389,'delayed previously',24,7,2,0.2512149026720571,0.4821407195457102,1.4962577747285568,1.4423513725862094,0.807131146844125,1.1046363276362374,1.4425726175515663,0.8890957030846572,0.8658644415090346,0.5541928457100482,yes,rent,3,skilled,1,none,none,yes,'female div/dep/mar','life insurance',radio/tv,2,'100<=X<500'
1764,1765,26,200,0,1057,'existing paid',12,4,1,0.313199279237479,0.5882127543177101,0.6513129868025744,1.0603830964586536,0.7087264207848326,1.0560653358397625,1.300287635333676,0.3237529639570012,1.683376468348107,0.4197634646795637,yes,own,3,skilled,1,none,none,yes,'male div/sep',car,radio/tv,1,'500<=X<1000'
179,180,42,-1,0,684,'critical/other existing credit',12,10,2,0.2102973429850677,0.6811228525713681,1.3366908124544623,1.0456891329548004,0.8589558601367829,0.9271673482865296,1.437224877969232,1.1649600707030423,0.7861662684384114,0.5096200794768779,yes,own,4,skilled,2,none,none,yes,'male single','life insurance',radio/tv,4,'500<=X<1000'
1047,1048,25,0,1,2430,'existing paid',18,-1,1,0.4544168689039708,0.5751140603198054,1.4227676727434004,0.4728948952415976,1.5148579000799696,1.1385194717603513,0.917989682012486,1.1536736286178693,1.7218108344008305,0.2620640710490597,yes,own,4,'unemp/unskilled non res',1,none,none,none,'male single',car,furniture/equipment,1,'<100'
1755,1756,36,200,0,2380,'critical/other existing credit',12,7,1,0.4677900177295392,0.8123177175173952,0.444326187271974,0.7666293774053297,0.4313030797255024,0.847343398816748,1.0553507008656862,1.0567668469099785,1.2771492629148098,0.3136654848034641,yes,own,3,'high qualif/self emp/mgmt',1,none,none,yes,'male div/sep',car,'new car',3,'500<=X<1000'
950,951,28,-1,0,1596,'critical/other existing credit',6,4,2,0.5436090524574647,0.5655051281894249,1.3019790244823568,0.8068379080259072,0.4480569189015844,1.5607060186926034,0.7643307708182066,1.1592394448708747,1.1502035607470047,0.5461167330945209,yes,own,1,skilled,1,none,none,yes,'female div/dep/mar',car,radio/tv,1,'<100'
1316,1317,35,200,0,1553,'critical/other existing credit',9,7,1,0.6135909972438625,0.7593567133845962,0.7180677729845284,0.9683809111118692,1.1986608219342454,0.819553453921531,0.4427601276431129,0.7818521715584805,0.4751969761179464,0.6798906429571726,yes,rent,4,skilled,1,none,none,yes,'male single',car,furniture/equipment,3,'<100'
1619,1620,30,0,0,1519,'existing paid',12,4,1,0.3676124926639344,0.773573465449274,1.245891705041689,1.3293025082937504,0.7983469724818919,1.2752625268482372,0.948795554539792,1.26406235174455,0.919523055594658,0.5032164487001878,yes,own,2,skilled,1,'co applicant',none,none,'female div/dep/mar','life insurance',furniture/equipment,3,'<100'
528,529,43,-1,0,2814,'existing paid',18,4,1,0.4765361942714866,0.5296424416005078,1.1400644592881015,0.5922249396991844,1.2423322420040903,0.8077849869981779,1.200585593662777,0.5637649163218468,0.5453226359177226,0.4123473091844114,yes,own,3,skilled,1,none,none,yes,'male single','real estate',furniture/equipment,4,'<100'
346,347,41,400,0,2139,'existing paid',6,4,1,0.3066177554982014,0.5357788440707391,1.2981929339389424,1.3354622131367264,1.3093392332997924,1.2368511983973138,1.1523754379587356,1.3900210669760855,1.309379267673166,0.3518135929220888,yes,own,2,skilled,1,none,none,yes,'male single','real estate',furniture/equipment,2,'<100'
1387,1388,54,-1,1,4540,'existing paid',24,4,3,0.5945068081610815,0.3541475922609892,0.7816964734003032,1.4567192452567257,1.3808855844017487,1.1197537163244773,0.6779404788319658,0.7356315480844748,1.158834179038101,0.4329168231487199,yes,own,2,'high qualif/self emp/mgmt',1,none,none,yes,'male single','life insurance',business,3,'>=1000'
1960,1961,29,0,0,6761,'existing paid',24,-1,1,0.2323391299804938,0.4987115225027674,0.940602864478933,1.35950176024696,1.105093167206007,0.8709782268658652,0.6870035364515124,1.0390835375012883,0.7448297348247275,0.8209279170838569,yes,'for free',4,'high qualif/self emp/mgmt',1,none,none,yes,'male single','no known property','used car',2,'<100'
1050,1051,49,200,1,8678,'critical/other existing credit',30,7,1,0.311042496367004,0.5321377842094985,1.724382857617497,1.1181444035831438,1.3023126964029357,1.5307410271734052,0.90349718420221,0.9868980780961212,1.4424733265981364,0.4511174719923494,yes,own,2,skilled,1,none,none,none,'male single','life insurance',furniture/equipment,2,'<100'
1972,1973,35,-1,0,2093,'existing paid',15,10,1,0.6691442553944079,0.6891864327149178,0.7942888819758753,1.1695548631356578,0.885331068223001,1.5220308361185797,1.3254882368259753,1.054993741268415,0.7084880102026145,0.3183912158003731,yes,own,4,skilled,1,none,none,none,'male single',car,radio/tv,2,'no known savings'
1441,1442,36,-1,0,2599,'critical/other existing credit',24,10,1,0.6052258583379997,0.4494920355767055,1.4719206694822593,1.196353423343835,0.6410295618049461,1.5220254279233727,1.1645405740760728,1.3751377922706522,1.4029024482402503,0.5201067441904874,yes,own,3,skilled,2,none,none,yes,'male single','real estate',radio/tv,4,'100<=X<500'
601,602,27,200,0,2911,'existing paid',12,7,1,0.3583308912211863,0.5990060950407494,0.7079677531765145,1.3869968217210489,0.7174980551911041,0.9658231793683764,1.47115136949908,0.4788093707115423,0.781303098387125,0.5316987328223711,yes,own,2,skilled,1,none,none,none,'female div/dep/mar','real estate',radio/tv,1,'<100'
1281,1282,33,0,1,2440,'critical/other existing credit',20,4,2,0.4727674209975211,0.4577243818605678,1.1278465823361818,0.9109950844943884,0.7248077966795704,0.8963611186861196,1.005019065455213,0.6110493832978656,1.335513408778458,0.4303053625831614,no,rent,4,skilled,1,guarantor,bank,none,'male mar/wid','life insurance','new car',2,'<100'
243,244,45,0,1,9071,'existing paid',14,10,1,0.3163291264826202,0.6091174638951721,1.2301854827483458,1.1213019738697354,1.3651394124802698,1.18593114926825,1.249694070101684,0.907048401976794,1.0790786557928966,0.5917903313772583,no,own,1,'high qualif/self emp/mgmt',1,none,none,yes,'male div/sep','life insurance','new car',4,'<100'
1336,1337,52,-1,0,2230,'critical/other existing credit',24,10,2,0.4116441579357448,0.7182678735628356,1.161073356191075,0.6352639851897182,0.4810747262235054,1.1629462472864738,0.906855002339266,1.1005576728122464,0.6630857657460153,0.4405957063534689,yes,own,4,skilled,1,none,bank,none,'male single','life insurance',radio/tv,4,'100<=X<500'
